experimental number,X1,X2,X3,X4,bacteria,yeast,firmness,resp rate
1,1,1,1,1,3.25,1.92,56.33,35.73
2,0,0,0,0,3.47,2.25,57.33,31.32
3,0,2,0,0,3.45,2.3,58.33,36.34
4,-1,-1,-1,1,3.67,2.6,61.22,27.63
5,1,-1,-1,-1,3.55,2.3,55.44,29.07
6,-2,0,0,0,3.47,2.54,61,32.32
7,-1,-1,1,1,3.45,2.56,60.89,35.3
8,1,-1,-1,1,3.3,2.35,57,30.88
9,0,0,0,0,3.45,2.29,56.33,30.04
10,0,0,0,0,3.4,2.33,57.44,30.45
11,0,0,0,0,3.53,2.35,58,32.23
12,1,1,-1,-1,3.49,2.44,57.11,31.77
13,0,0,0,-2,3.55,2.46,59.44,28.59
14,1,1,1,-1,3.37,2.2,55.78,33.84
15,0,-2,0,0,3.45,2.5,58.89,27.81
16,0,0,-2,0,3.66,2.37,58.89,28.2
17,2,0,0,0,3.1,1.78,55.33,36.9
18,1,-1,1,-1,3.55,2.25,57.11,27.85
19,-1,1,1,1,3.45,2.56,60.56,35.73
20,1,-1,1,1,3.3,2.05,56.67,36.34
21,-1,-1,1,-1,3.5,2.55,58.89,30.45
22,0,0,0,0,3.52,2.33,59,31.32
23,0,0,0,2,3.57,2.35,59.22,36.34
24,1,1,-1,1,3.38,2.2,56.67,36.81
25,-1,1,-1,-1,3.88,2.56,62.89,31.32
26,-1,1,1,-1,3.52,2.47,58.56,34.31
27,-1,1,-1,1,3.77,2.53,60.89,33.84
28,-1,-1,-1,-1,3.6,2.5,62.33,26.7
29,0,0,2,0,3.4,2.29,55.89,35.81
30,0,0,0,0,3.5,2.3,58,31.32
